Year-Quarter,Row Count,Unique Loan Count,Unique Date Count
1999Q1,29711110,487558,300
1999Q2,19035547,339808,297
1999Q3,9908231,223172,293
1999Q4,6780140,172385,291
2000Q1,3831004,117803,287
2000Q2,4987204,184083,284
2000Q3,5578207,209934,281
2000Q4,6768955,236224,279
2001Q1,15072593,405251,275
2001Q2,23696547,629708,273
2001Q3,20186824,543903,269
2001Q4,42192124,921677,267
2002Q1,27175414,643963,264
2002Q2,19053255,475617,261
2002Q3,40089026,794504,258
2002Q4,69768648,1078445,255
2003Q1,67998440,922403,252
2003Q2,101525749,1216667,249
2003Q3,111699866,1287051,246
2003Q4,37700750,478003,243
2004Q1,40581916,494481,240
2004Q2,42163763,525051,237
2004Q3,23289487,313499,234
2004Q4,27543999,344071,231
2005Q1,26880060,338394,227
2005Q2,30135360,387846,225
2005Q3,40100801,508340,222
2005Q4,27536897,376923,219
2006Q1,20406105,298579,216
2006Q2,19022267,308217,213
2006Q3,16891181,283974,210
2006Q4,19347495,302774,206
2007Q1,19196147,302355,203
2007Q2,21997690,354088,201
2007Q3,15617069,284993,197
2007Q4,16696188,296870,195
2008Q1,23514894,421629,192
2008Q2,19240597,370989,189
2008Q3,9525948,221725,185
2008Q4,9727069,218698,183
2009Q1,34394509,621483,180
2009Q2,46411959,716669,177
2009Q3,28423232,443055,174
2009Q4,28221871,445739,170
2010Q1,22680604,360853,167
2010Q2,22456001,363835,164
2010Q3,33973009,503417,162
2010Q4,43966845,592078,158
2011Q1,22840028,332606,155
2011Q2,16989909,266589,153
2011Q3,24282471,356371,149
2011Q4,32381969,427394,146
2012Q1,33215548,414759,143
2012Q2,38087518,462358,140
2012Q3,48734924,563435,137
2012Q4,52070401,592691,134
2013Q1,52830615,610550,131
2013Q2,48566271,578774,128
2013Q3,27352251,375866,126
2013Q4,19501099,289664,122
2014Q1,14088997,221791,119
2014Q2,18030951,290832,117
2014Q3,20421274,326247,113
2014Q4,19037535,303509,110
2015Q1,23843556,365231,107
2015Q2,26437699,411688,104
2015Q3,21925514,365210,101
2015Q4,19984473,332103,99
2016Q1,18259509,308485,95
2016Q2,25847865,431523,92
2016Q3,28648707,477407,90
2016Q4,27456101,471619,86
2017Q1,14878585,290878,83
2017Q2,16473446,337390,80
2017Q3,18953511,391835,77
2017Q4,16888840,360141,74
2018Q1,12292947,296903,71
2018Q2,13158859,364786,68
2018Q3,11221908,337341,65
2018Q4,8589823,289234,62
2019Q1,8180151,281050,59
2019Q2,12187671,414859,56
2019Q3,16994552,543031,53
2019Q4,16779098,545706,50
2020Q1,15804438,517778,47
2020Q2,30878680,926685,45
2020Q3,40957777,1187959,41
2020Q4,42895222,1282769,38
2021Q1,38264988,1219680,35
2021Q2,27929456,967361,32
2021Q3,27833843,1045472,29
2021Q4,20849382,864318,26
2022Q1,12435240,583808,23
2022Q2,8089761,437932,20
2022Q3,5268715,336784,17
2022Q4,2816265,222383,15
2023Q1,1788020,185937,11
2023Q2,1874341,275883,8
2023Q3,1036037,261699,6
ALL,2518859338,46715088,300
